exon_num	whole_gene_len	5UTR_len	3UTR_len	CDS_len	last_CDS_len
PREB	9	2166	254	658	1254	95
PPM1G	10	2311	265	405	1641	207
SUPT7L	6	4488	570	2673	1245	263
RBKS	8	1973	753	251	969	174
PLB1	58	5107	44	686	4377	204
SPDYA	8	1801	189	670	942	92
CLIP4	16	2162	408	38	1716	115
LBH	3	543	202	194	147	18
LCLAT1	7	2774	202	1645	927	185
CAPN13	23	2683	177	496	2010	27
GALNT14	17	2496	464	433	1599	159
CAPN14	22	2197	142	0	2055	27
MEMO1	10	1482	50	538	894	132
SPAST	17	5212	221	3140	1851	123
NLRC4	10	3581	489	17	3075	293
TTC27	20	2876	231	113	2532	123
LTBP1	34	6333	353	814	5166	182
CRIM1	17	5912	367	2434	3111	177
FEZ2	9	2097	49	905	1143	17
STRN	18	8168	9	5816	2343	170
GPATCH11	9	3906	67	2981	858	56
CEBPZ	16	3463	146	152	3165	140
QPCT	7	1739	158	495	1086	146
RMDN2	12	2280	147	417	1716	3
GALM	7	2484	252	1203	1029	78
ARHGEF33	18	4484	265	1606	2613	130
SOS1	24	8517	87	4428	4002	492
CDKL4	9	1140	0	0	1140	213
MAP4K3	34	4362	325	1352	2685	88
TMEM178A	5	1286	8	942	336	73
SLC8A1	11	3178	34	222	2922	377
EML4	24	3797	151	667	2979	474
KCNG3	2	3824	596	1917	1311	646
MTA3	18	5832	670	3548	1614	26
THADA	38	6114	140	112	5862	396
PLEKHH2	30	6981	110	2389	4482	186
DYNC2LI1	13	1399	100	243	1056	63
LRPPRC	38	6335	58	2092	4185	57
PPM1B	6	3025	412	1470	1143	9
SLC3A1	10	1737	78	0	1659	38
CAMKMT	11	1495	44	479	972	78
SRBD1	21	3681	63	630	2988	290
ATP6V1E2	5	1559	714	164	681	782
MCFD2	5	4210	180	3589	441	132
TTC7A	21	3033	433	125	2475	222
MSH2	17	3024	139	278	2607	171
FBXO11	23	3844	114	1198	2532	130
FOXN2	7	5408	261	3851	1296	524
PPP1R21	22	3142	157	642	2343	30
STON1-GTF2A1L	11	3821	111	161	3549	108
GTF2A1L	9	1639	37	165	1437	108
FSHR	10	2784	120	576	2088	1234
ASB3	10	2214	135	522	1557	188
GPR75-ASB3	10	2113	232	210	1671	188
PSME4	47	7099	56	1511	5532	135
ACYP2	7	831	255	57	519	115
EML6	41	8320	520	1923	5877	25
RTN4	9	4790	244	967	3579	43
CLHC1	13	2248	346	141	1761	197
CCDC88A	34	9586	842	3353	5391	65
CCDC85A	6	3982	502	1818	1662	90
VRK2	16	2446	745	174	1527	345
FANCL	14	1683	37	518	1128	36
PUS10	18	2278	262	426	1590	39
KIAA1841	22	4516	241	2118	2157	37
USP34	80	11357	77	639	10641	608
COMMD1	3	911	32	306	573	111
WDPCP	18	3392	528	623	2241	51
PELI1	7	3750	443	2050	1257	567
SPRED2	6	4097	190	2650	1257	669
MEIS1	13	4291	457	2661	1173	59
CNRIP1	3	644	0	257	387	57
APLF	10	3847	171	2140	1536	203
ARHGAP25	11	2945	365	639	1941	208
GFPT1	20	8703	183	6420	2100	45
AAK1	22	11345	377	8082	2886	95
GMCL1	14	4191	251	2392	1548	96
TGFA	7	812	5	321	486	14
FIGLA	5	722	5	57	660	16
VAX2	3	1147	32	242	873	438
DYSF	56	6790	277	156	6357	39
SFXN5	14	4140	131	2986	1023	78
FBXO41	13	7336	416	4292	2628	63
C2orf78	3	3045	121	155	2769	1922
TET3	11	11388	0	6000	5388	1784
RP11-287D1.3	39	5059	0	4483	576	138
SLC4A5	31	6348	398	2584	3366	35
M1AP	11	2543	117	833	1593	159
HK2	18	5772	600	2418	2754	145
TACR1	5	4959	766	2969	1224	292
LRRTM4	4	2227	312	142	1773	222
DNAH6	77	12795	137	181	12477	104
TCF7L1	12	2968	275	926	1767	434
TGOLN2	5	6419	334	4645	1440	78
VAMP5	3	689	83	255	351	210
ST3GAL5	7	2225	37	1000	1188	249
PTCD3	24	6734	66	4598	2070	91
REEP1	9	1702	116	731	855	72
CHMP3	6	3171	129	2373	669	146
RNF103-CHMP3	8	1135	243	136	756	146
RMND5A	9	6301	495	4630	1176	64
RGPD2	23	6931	223	1437	5271	35
EIF2AK3	17	4222	329	995	2898	201
RPIA	9	1848	55	857	936	98
IGKV1D-33	2	324	0	0	324	33
MAL	4	1112	109	541	462	75
ZNF514	5	3011	463	1345	1203	986
PROM2	24	4728	133	2090	2505	64
ANKRD36C	67	5428	85	6	5337	24
STARD7	8	3368	384	1871	1113	185
NCAPH	18	2763	43	494	2226	60
KANSL3	21	5153	77	2439	2637	21
LMAN2L	9	2020	24	916	1080	143
SEMA4C	15	3545	133	910	2502	830
ANKRD36	76	6269	244	199	5826	24
TMEM131	41	6640	229	759	5652	285
VWA3B	28	4454	204	365	3885	150
MGAT4A	16	8382	314	6460	1608	27
KIAA1211L	10	3907	332	686	2889	140
TSGA10	21	3878	845	936	2097	25
RP11-111H13.1	14	1947	636	735	576	133
EIF5B	25	4698	184	851	3663	108
REV1	23	4686	167	766	3753	112
CHST10	7	2842	386	1385	1071	538
NPAS2	21	4007	285	1247	2475	183
TBC1D8	20	3627	0	204	3423	453
RFX8	12	1686	120	144	1422	177
IL1R1	12	1858	241	0	1617	407
IL1RL2	12	2615	126	761	1728	50
IL18R1	12	3854	356	1872	1626	356
SLC9A4	12	4138	457	1284	2397	359
SLC9A2	12	5410	142	2829	2439	371
FHL2	7	1769	128	471	1170	152
NCK2	5	2683	442	1098	1143	195
UXS1	15	2099	98	723	1278	132
RGPD3	23	5510	38	189	5283	35
ST6GAL2	6	6857	189	5078	1590	272
RGPD4	23	5464	77	110	5277	11
LIMS1	10	4461	208	3239	1014	115
CCDC138	15	2383	60	325	1998	166
EDAR	12	4323	444	2436	1443	323
SH3RF3	10	5803	193	2961	2649	169
SEPT10	13	1782	232	128	1422	118
RGPD5	23	7253	158	1797	5298	35
LINC00116	9	2051	1400	234	417	521
ACOXL	19	2714	224	846	1644	12
ANAPC1	48	8262	773	1654	5835	116
MERTK	40	3104	1337	0	1767	39
TMEM87B	19	5212	369	3175	1668	60
ZC3H6	12	11542	401	7571	3570	1484
NT5DC4	17	1767	51	429	1287	39
IL36G	5	1195	69	616	510	210
IL1RN	9	1903	471	1000	432	216
RABL2A	10	1118	210	218	690	99
ACTR3	12	6718	320	5141	1257	96
CCDC93	24	6896	138	4865	1893	54
INSIG2	6	2590	206	1706	678	42
PTPN4	27	10300	771	6748	2781	87
EPB41L5	25	6628	214	4212	2202	67
GLI2	14	6799	60	1978	4761	2468
TFCP2L1	15	9292	98	7754	1440	47
TSN	6	3420	247	2486	687	234
ERCC3	15	2750	95	306	2349	132
LIMS2	12	2315	451	853	1011	148
WDR33	22	9471	159	5301	4011	230
UGGT1	41	10650	47	5935	4668	26
SMPD4	20	4896	1149	1146	2601	330
AC013269.5	5	1653	196	1007	450	34
ARHGEF4	14	3666	519	1074	2073	152
PLEKHB2	9	4349	560	3078	711	137
GPR39	2	2784	469	953	1362	506
LYPD1	3	1891	273	1192	426	236
TMEM163	8	1892	65	957	870	61
ACMSD	10	1321	136	174	1011	63
MAP3K19	13	5030	684	359	3987	67
RAB3GAP1	25	4185	10	1208	2967	237
R3HDM1	26	4648	370	978	3300	356
LCT	17	6279	11	484	5784	221
DARS	16	2361	216	639	1506	92
SPOPL	11	6025	379	4467	1179	145
NXPH2	2	1052	107	150	795	744
KYNU	15	1576	178	0	1398	126
GTDC1	12	2954	279	1298	1377	84
ZEB2	11	9432	529	5294	3609	379
ORC4	15	6710	286	5113	1311	189
MBD5	15	9512	997	4030	4485	72
EPC2	14	3649	34	1191	2424	73
LYPD6B	7	1577	401	552	624	165
LYPD6	5	3578	289	2773	516	168
RND3	6	2711	184	1792	735	252
RBM43	4	4192	152	2966	1074	759
NEB	183	26307	203	421	25683	174
CTD-2021K4.1	12	1373	236	438	699	102
STAM2	14	5701	350	3773	1578	229
FMNL2	26	5575	367	1929	3279	110
PRPF40A	26	8048	542	4713	2793	93
KCNJ3	3	5021	477	3038	1506	587
GPD2	18	2661	545	310	1806	126
CYTIP	8	2260	122	1058	1080	467
ACVR1C	9	8994	361	7151	1482	126
ACVR1	12	2084	339	215	1530	135
UPP2	10	2435	46	1264	1125	143
PKP4	25	3856	127	102	3627	57
DAPL1	5	867	15	252	600	301
TANC1	27	7470	237	1647	5586	1435
WDSUB1	11	1912	241	240	1431	158
CD302	6	3741	44	2998	699	203
LY75-CD302	39	5650	28	0	5622	203
PLA2R1	30	14371	207	9772	4392	215
ITGB6	16	2501	134	0	2367	99
TANK	9	2155	97	831	1227	49
PSMD14	12	1954	704	317	933	99
SLC4A10	27	5710	287	2123	3300	13
DPP4	26	3904	561	1042	2301	102
IFIH1	16	3595	396	121	3078	180
FIGN	3	746	320	336	90	65
GRB14	14	2382	539	220	1623	147
COBLL1	17	3868	124	42	3702	87
SCN3A	28	9123	492	2628	6003	1196
SCN2A	27	8792	290	2484	6018	1196
TTC21B	29	5482	138	1393	3951	78
SCN1A	29	8562	480	2085	5997	1178
SCN9A	27	9768	347	3487	5934	1193
SCN7A	26	7186	130	2007	5049	1067
XIRP2	11	3391	89	386	2916	1507
STK39	18	3820	706	1476	1638	75
CERS6	11	6851	200	5472	1179	153
ABCB11	28	4775	125	684	3966	201
DHRS9	8	2863	1503	400	960	224
LRP2	79	15808	286	1554	13968	168
PPIG	14	6368	220	3883	2265	1111
KLHL23	6	2087	338	72	1677	311
MYO3B	35	5529	143	1360	4026	139
ERICH2	5	601	53	77	471	125
TLK1	22	5726	405	2957	2364	177
DCAF17	14	5828	327	3938	1563	141
DYNC1I2	18	2604	167	520	1917	114
SLC25A12	18	2979	38	904	2037	202
ITGA6	26	3544	213	466	2865	108
AC013461.1	20	2572	136	33	2403	701
SP3	7	6359	531	3482	2346	317
OLA1	11	4417	247	2979	1191	102
GPR155	17	4876	299	1964	2613	301
WIPF1	9	3028	164	1331	1533	25
CHN1	13	2447	314	753	1380	172
MTX2	10	1364	211	361	792	172
NFE2L2	8	2749	502	477	1770	1224
AGPS	20	7764	146	5641	1977	122
PDE11A	21	3489	99	1338	2052	156
RBM45	10	1788	92	265	1431	193
TTN	363	109224	225	1023	107976	296
CCDC141	12	6960	118	4883	1959	240
SESTD1	18	10615	317	8207	2091	130
ZNF385B	10	3288	604	1268	1416	219
CWC22	20	3280	300	253	2727	587
UBE2E3	7	909	144	141	624	98
ITGA4	28	4189	430	660	3099	96
SSFA2	18	5150	179	1191	3780	105
PPP1R1C	6	3004	243	2431	330	89
FRZB	6	3162	610	1574	978	117
NCKAP1	32	4989	759	825	3405	117
ZNF804A	4	4690	594	466	3630	3244
CALCRL	16	5223	782	3055	1386	216
GULP1	13	2643	669	1098	876	22
COL3A1	51	5543	170	972	4401	147
COL5A2	54	6949	275	2174	4500	147
C2orf88	3	998	379	331	288	452
HIBCH	14	1939	295	483	1161	116
MFSD6	8	4797	324	2097	2376	204
STAT1	25	4310	388	1669	2253	15
STAT4	24	2769	258	264	2247	27
MYO1B	31	5082	247	1424	3411	124
TMEFF2	10	2842	392	1409	1041	13
SLC39A10	10	5432	275	2661	2496	159
DNAH7	65	12394	101	218	12075	207
HECW2	29	11809	183	6907	4719	112
PGAP1	27	11114	115	8230	2769	139
SF3B1	25	6526	92	2519	3915	159
HSPE1-MOB4	9	890	24	80	786	132
MOB4	8	3785	150	3053	582	132
RFTN2	9	5827	537	3784	1506	273
PLCL1	6	5125	398	1439	3288	183
SATB2	12	5318	413	2703	2202	462
SPATS2L	14	2250	502	71	1677	396
SGO2	9	4214	98	318	3798	16
AOX1	35	5074	241	816	4017	51
ORC2	18	4312	250	2328	1734	87
FAM126B	12	9333	188	7552	1593	602
CASP10	10	5928	435	3924	1569	154
STRADB	12	2293	365	671	1257	144
ALS2CR11	16	5512	45	4	5463	291
ALS2	34	6644	373	1297	4974	39
CDK15	15	1780	349	276	1155	110
KIAA2012	24	3772	0	226	3546	139
BMPR2	13	11461	539	7805	3117	251
FAM117B	8	5763	0	3993	1770	319
WDR12	13	8100	750	6078	1272	78
NBEAL1	55	10938	333	2520	8085	102
CYP20A1	14	1986	864	543	579	151
ICOS	5	2645	67	1978	600	14
NRP2	17	6662	791	3075	2796	305
INO80D	11	14136	405	10647	3084	1166
GPR1	4	2565	637	860	1068	1096
ZDBF2	5	10286	386	2835	7065	6877
DYTN	12	2051	117	197	1737	104
CPO	9	1209	46	38	1125	263
KLF7	5	1788	229	866	693	38
CCNYL1	11	1952	315	767	870	111
PLEKHM3	8	9807	490	7031	2286	178
PIKFYVE	42	9901	158	3446	6297	116
PTH2R	13	2472	782	370	1320	396
UNC80	64	13562	80	3705	9777	267
KANSL1L	15	4754	264	1526	2964	231
CPS1	39	5698	55	1122	4521	99
IKZF2	9	3888	310	1997	1581	725
VWC2L	4	4610	802	3139	669	149
XRCC5	23	3761	461	1101	2199	15
MARCH4	4	4447	1767	1447	1233	368
RPL37A	5	698	253	178	267	4
IGFBP2	4	1439	129	332	978	165
DIRC3	5	552	103	53	396	122
TNS1	33	10331	453	4670	5208	145
ARPC2	11	1505	169	433	903	25
CATIP	10	1323	29	130	1164	243
USP37	26	8032	413	4679	2940	88
PLCD4	17	2738	185	264	2289	107
WNT10A	4	2547	633	660	1254	498
CFAP65	35	5953	84	91	5778	85
DNAJB2	10	1946	211	901	834	11
TMEM198	6	2393	585	725	1083	138
EPHA4	18	6346	42	3343	2961	115
SGPP2	5	3336	86	2050	1200	552
MOGAT1	6	1048	0	40	1008	155
SERPINE2	10	2569	661	714	1194	38
CUL3	16	6741	339	4095	2307	132
DOCK10	56	7288	114	631	6543	117
IRS1	2	9705	1021	4955	3729	4750
RHBDD1	9	5151	524	3679	948	92
COL4A4	48	9895	208	4614	5073	264
COL4A3	52	8097	162	2922	5013	85
SPHKAP	12	6917	47	1767	5103	144
PID1	4	2745	340	1658	747	477
TRIP12	42	6405	169	113	6123	197
SP140	27	3246	114	528	2604	99
SP100	29	2926	31	237	2658	111
CAB39	9	3826	429	2371	1026	189
GPR55	3	2526	193	1373	960	1094
PSMD1	25	3326	162	302	2862	147
ARMC9	25	4975	158	2360	2457	23
DIS3L2	21	3501	276	567	2658	162
PRSS56	13	2157	136	206	1815	291
EFHD1	4	1156	103	621	432	135
NGEF	15	3215	279	803	2133	191
INPP5D	27	5274	512	1195	3567	3
SAG	16	1591	230	143	1218	106
DGKD	30	6297	12	2640	3645	90
UGT1A8	5	2407	63	751	1593	298
UGT1A10	5	2408	69	746	1593	298
UGT1A9	5	2416	82	741	1593	298
UGT1A7	5	2333	0	740	1593	298
UGT1A6	6	1128	221	109	798	298
TRPM8	26	5621	40	2266	3315	51
SH3BP4	6	5194	404	1898	2892	225
IQCA1	19	3069	35	541	2493	96
COL6A3	44	10749	453	762	9534	41
MLPH	16	3823	294	1726	1803	27
LRRFIP1	24	2775	69	783	1923	111
RAMP1	4	734	180	173	381	256
NDUFA10	11	1557	5	379	1173	69
ANKMY1	18	3232	139	0	3093	47
KIF1A	49	9223	247	3600	5376	43
CROCC2	32	5382	184	230	4968	16
SNED1	32	8174	0	3932	4242	37
HDLBP	28	4489	293	389	3807	87
FARP2	27	4051	170	716	3165	118
BOK	5	2657	302	1716	639	126
ING5	8	4199	1751	1683	765	147
FAM110C	2	3760	0	2794	966	20
ACP1	6	1552	96	979	477	78
FAM150B	6	1389	341	589	459	6
TMEM18	5	2762	94	2245	423	96
AC092159.1	1	550	87	322	141	228
ADI1	4	2391	249	1602	540	120
RNASEH1	8	1887	356	670	861	87
RPS7	7	786	164	37	585	78
COLEC11	8	1381	234	340	807	392
SOX11	1	8719	55	7338	1326	1381
CMPK2	5	2884	0	1534	1350	124
RSAD2	6	3519	136	2297	1086	165
ID2	5	2041	860	776	405	57
ITGB1BP1	8	4859	897	3359	603	72
IAH1	6	863	340	115	408	183
ADAM17	19	4349	183	1691	2475	342
YWHAQ	6	2208	156	1314	738	60
TAF1B	15	2387	188	432	1767	202
KLF11	4	4030	162	2329	1539	281
CYS1	3	2738	188	2073	477	106
RRM2	10	3673	291	2032	1350	153
ODC1	12	2653	511	756	1386	145
PDIA6	15	2682	338	865	1479	69
KCNF1	1	2289	490	314	1485	1975
PQLC3	7	1830	175	1046	609	92
E2F6	9	3450	727	2102	621	47
TRIB2	3	4391	1419	1940	1032	469
FAM84A	3	3765	517	2369	879	915
MYCN	3	2602	297	910	1395	605
RAD51AP2	3	3724	24	220	3480	152
GEN1	14	9854	125	7002	2727	1319
MSGN1	1	606	23	1	582	605
KCNS3	3	2397	451	470	1476	1535
RDH14	2	1587	108	468	1011	618
NT5C1B-RDH14	11	2142	94	239	1809	25
NT5C1B	10	2475	78	564	1833	324
OSR1	3	1936	345	790	801	136
TTC32	3	822	132	234	456	140
MATN3	8	2524	63	1000	1461	56
LAPTM4A	7	1765	508	555	702	75
SDC1	6	3291	391	1967	933	170
HS1BP3	7	2370	26	1165	1179	259
GDF7	2	9749	576	7820	1353	962
APOB	29	14121	128	301	13692	1605
TDRD15	4	6135	330	0	5805	5808
MFSD2B	14	2834	0	1319	1515	25
WDCP	4	3817	58	1593	2166	230
FKBP1B	5	953	234	479	240	129
SF3B6	4	770	214	178	378	90
TP53I3	6	1635	490	146	999	183
RP11-507M3.1	14	2281	89	1553	639	100
FAM228A	6	1774	86	1067	621	220
PTRHD1	2	1105	5	677	423	171
CENPO	8	4386	425	3058	903	137
DNAJC27	7	4992	190	3980	822	133
EFR3B	23	7434	183	4797	2454	106
GAREM2	6	4161	130	1406	2625	1027
HADHB	16	2044	104	515	1425	36
EPT1	11	8126	147	6788	1191	33
DRC1	17	2491	74	194	2223	57
C2orf70	5	764	102	107	555	132
KCNK3	3	1956	453	687	816	902
SLC35F6	6	3898	62	2720	1116	470
CENPA	5	1452	200	829	423	135
TMEM214	17	2990	62	858	2070	127
AGBL5	15	3177	159	357	2661	172
OST4	3	458	50	294	114	115
EMILIN1	8	3943	499	393	3051	338
KHK	8	2411	513	1001	897	86
CGREF1	7	1177	76	195	906	188
ABHD1	9	1400	114	68	1218	212
PRR30	3	2008	526	243	1239	1604
TCF23	3	4882	130	4107	645	180
SLC5A6	18	2230	322	0	1908	144
ATRAID	7	1240	177	208	855	105
CAD	44	7265	162	425	6678	103
DNAJC5G	7	2008	418	1020	570	50
TRIM54	10	2027	270	554	1203	86
UCN	2	795	299	121	375	388
MPV17	8	1005	56	418	531	70
GTF3C2	19	3992	430	826	2736	219
EIF2B4	14	1754	143	48	1563	200
SNX17	15	2044	222	409	1413	114
ZNF513	4	2139	199	314	1626	827
NRBP1	19	2887	832	447	1608	105
KRTCAP3	7	956	47	186	723	108
IFT172	48	5415	104	61	5250	90
FNDC4	7	1657	392	560	705	36
GCKR	19	2186	63	245	1878	171
AC109829.1	5	825	41	0	784	410
AC109829.2	1	375	0	0	375	375
C2orf16	1	6199	51	193	5955	6006
ZNF512	15	3703	476	1754	1473	309
CCDC121	2	2342	181	1324	837	955
GPN1	15	1395	50	256	1089	86
SLC4A1AP	14	2959	282	286	2391	50
MRPL33	4	518	61	259	198	50
FOSL2	4	5829	8	4864	957	570
PPP1CB	9	4771	160	3627	984	105
TRMT61B	7	1836	24	378	1434	44
WDR43	18	3533	56	1443	2034	180
FAM179A	20	12691	351	9280	3060	338
C2orf71	2	7044	0	3177	3867	199
YPEL5	5	2560	504	1690	366	225
EHD3	6	4636	285	2743	1608	528
XDH	36	5688	49	1637	4002	51
SRD5A2	5	4648	167	3716	765	67
DPY30	5	708	116	292	300	73
SLC30A6	15	2354	37	811	1506	501
YIPF4	6	11949	246	10968	735	138
FAM98A	8	2816	141	1118	1557	669
HEATR5B	36	6905	96	593	6216	305
EIF2AK2	17	10042	323	8063	1656	123
SULT6B1	8	902	104	0	798	131
CEBPZOS	7	1499	424	832	243	83
NDUFAF7	10	2176	40	810	1326	216
PRKD3	19	6111	763	2675	2673	174
CDC42EP3	2	5124	418	3941	765	1000
CYP1B1	3	5250	403	3215	1632	589
ATL2	13	2868	2	1114	1752	120
HNRNPLL	14	3980	162	2204	1614	56
SRSF7	8	2489	238	1534	717	55
GEMIN6	6	1210	565	435	210	14
DHX57	24	4859	128	570	4161	144
MORN2	5	741	307	194	240	103
THUMPD2	10	1970	28	430	1512	325
PKDCC	7	2502	180	840	1482	86
COX7A2L	4	3056	830	1881	345	141
OXER1	1	1781	82	427	1272	1354
HAAO	10	1265	56	348	861	79
ZFP36L2	2	3696	294	1917	1485	1434
C1GALT1C1L	1	1172	0	224	948	948
ABCG5	13	2740	140	644	1956	194
ABCG8	13	2665	90	553	2022	138
PREPL	15	5212	438	2590	2184	90
SIX3	2	2523	207	1317	999	193
SIX2	2	2205	320	1009	876	316
EPAS1	16	5166	510	2043	2613	152
TMEM247	3	680	21	0	659	182
RHOQ	5	2975	319	2038	618	156
PIGF	7	1061	103	337	621	75
CRIPT	5	1953	132	1515	306	65
SOCS5	2	4771	172	2988	1611	1623
RP11-761B3.1	9	983	0	852	131	29
C2orf61	7	891	127	17	747	123
CALM2	7	770	142	37	591	29
EPCAM	10	1530	214	287	1029	42
KCNK12	2	6227	608	4326	1293	902
MSH6	13	4324	3248	92	984	82
STON1	5	5614	195	3211	2208	75
RP11-310N16.1	13	2103	53	1423	627	22
LHCGR	11	3044	22	922	2100	1153
CHAC2	3	1321	95	671	555	384
ERLEC1	14	2433	131	850	1452	72
GPR75	2	2115	271	221	1623	1732
TSPYL6	1	3089	121	1735	1233	1354
C2orf73	5	576	74	160	342	128
RPS27A	6	705	223	11	471	150
MTIF2	16	2528	316	28	2184	173
CFAP36	11	1373	198	71	1104	102
PNPT1	28	4411	87	1972	2352	156
EFEMP1	12	1820	125	213	1482	162
BCL11A	5	3959	229	1408	2322	92
PAPOLG	22	4263	249	1803	2211	99
REL	11	11255	320	9075	1860	773
PEX13	4	4470	38	3220	1212	299
C2orf74	5	1070	208	298	564	174
AHSA2	9	1197	67	758	372	15
XPO1	26	3479	143	120	3216	147
FAM161A	7	3762	12	1599	2151	145
CCT4	14	2520	297	603	1620	15
AC107081.1	4	129	0	0	129	48
B3GNT2	2	2763	252	1317	1194	1203
TMEM17	4	1797	212	988	597	279
OTX1	5	2861	276	1520	1065	816
MDH1	9	1650	435	210	1005	126
AC016734.1	3	45	0	0	45	19
UGP2	11	2057	339	224	1494	108
LGALSL	5	3926	454	2953	519	144
AFTPH	10	4113	340	962	2811	148
AC008074.1	9	1622	576	635	411	19
SERTAD2	2	5549	298	4306	945	949
CEP68	7	5847	203	3370	2274	170
RAB1A	6	2447	191	1638	618	198
ACTR2	10	2685	73	1412	1200	171
ETAA1	6	3418	130	507	2781	128
C1D	6	1379	156	680	543	165
PNO1	7	2286	91	1436	759	68
PPP3R1	6	3023	404	2106	513	48
PLEK	9	2869	179	1637	1053	137
FBXO48	4	5666	408	4790	468	162
PROKR1	3	4273	420	2671	1182	697
BMP10	2	1584	159	150	1275	941
GKN3P	6	546	0	0	546	95
GKN2	6	800	109	136	555	83
GKN1	6	814	63	151	600	95
NFU1	8	1467	206	496	765	45
ANXA4	13	1414	248	266	900	60
SNRNP27	6	1802	425	909	468	55
AC019206.1	2	192	0	0	192	122
MXD1	6	5587	260	4661	666	188
ASPRV1	1	2177	577	568	1032	1609
PCBP1	1	1750	290	389	1071	1361
C2orf42	10	2581	380	476	1725	209
TIA1	13	4647	211	3275	1161	127
PCYOX1	6	5345	28	3799	1518	659
SNRPG	5	515	191	129	195	51
FAM136A	4	936	45	573	318	35
ADD2	17	2654	445	277	1932	105
CLEC4F	7	2475	77	628	1770	112
CD207	6	1869	46	836	987	151
ATP6V1B1	14	1891	73	276	1542	164
AC007040.11	6	4170	579	2997	594	119
ANKRD53	7	2185	266	887	1032	2
TEX261	6	3441	188	2662	591	116
NAGK	10	1801	268	360	1173	191
MCEE	3	835	18	286	531	153
MPHOSPH10	11	2484	352	86	2046	150
PAIP2B	4	6279	167	5740	372	57
CYP26B1	6	4732	204	2989	1539	393
SPR	3	1480	73	621	786	191
EMX1	3	1528	424	474	630	68
RAB11FIP5	6	6120	6	2139	3975	204
NOTO	3	2749	409	1584	756	159
SMYD5	13	2593	45	1291	1257	151
PRADC1	5	1083	68	448	567	121
CCT7	13	2031	371	160	1500	222
EGR4	2	2377	388	528	1461	1325
NAT8	2	947	150	113	684	758
NAT8B	1	765	35	51	679	714
TPRKB	6	819	121	53	645	87
DUSP11	9	1653	42	477	1134	199
STAMBP	11	1649	47	327	1275	57
ACTG2	10	2064	643	290	1131	144
DGUOK	7	1144	85	225	834	27
BOLA3	4	639	120	195	324	66
MOB1A	6	4885	194	4040	651	78
MTHFD2	8	4456	80	3323	1053	164
DCTN1	32	4500	318	345	3837	138
C2orf81	4	1902	0	153	1749	1290
WDR54	10	1147	88	54	1005	132
RTKN	13	2646	586	407	1653	332
INO80B	5	1261	94	96	1071	531
INO80B-WBP1	8	2040	29	919	1092	25
WBP1	5	1325	203	210	912	461
MOGS	5	2568	155	217	2196	1738
MRPL53	3	1162	662	161	339	134
CCDC142	9	3406	397	756	2253	257
TTC31	13	3235	7	1668	1560	297
LBX2	2	1186	179	410	597	392
PCGF1	9	1792	912	100	780	48
TLX2	4	1452	414	330	708	459
DQX1	12	2540	71	315	2154	157
AUP1	12	1695	310	152	1233	37
HTRA2	8	2370	630	363	1377	166
LOXL3	14	3502	72	1168	2262	74
DOK1	5	1955	504	422	1029	807
SEMA4F	14	4312	149	1850	2313	611
POLE4	4	1248	188	706	354	14
MRPL19	7	1076	5	192	879	222
GCFC2	17	4440	134	1960	2346	118
REG3G	6	856	99	229	528	68
REG1B	6	767	81	185	501	68
REG1A	6	808	103	204	501	68
REG3A	6	788	37	223	528	68
LRRTM1	2	2599	657	373	1569	1628
SUCLG1	9	1475	211	223	1041	27
TRABD2A	7	1975	206	251	1518	184
AC022210.1	2	54	0	0	54	25
TMSB10	3	496	109	252	135	35
KCMF1	7	7568	359	6063	1146	262
RETSAT	11	3100	113	1154	1833	140
ELMOD3	15	2564	632	786	1146	203
CAPG	10	1442	250	145	1047	66
SH2D6	21	1975	1314	229	432	117
MAT2A	9	2819	123	1508	1188	103
GGCX	15	7569	81	5211	2277	193
VAMP8	4	805	54	451	300	5
AC016753.1	2	75	0	0	75	49
RNF181	5	569	30	77	462	60
TMEM150A	8	1518	188	514	816	242
C2orf68	4	2837	45	2291	501	123
USP39	14	2034	27	309	1698	48
SFTPB	12	3666	136	2384	1146	63
GNLY	6	750	61	170	519	11
ATOH8	3	2438	296	1176	966	6
POLR1A	34	12749	379	7207	5163	101
IMMT	15	2613	297	336	1980	614
MRPL35	5	1061	136	412	513	1
KDM3A	27	4928	365	597	3966	81
RNF103	4	3477	969	450	2058	1576
CD8A	9	3048	1031	1309	708	52
CD8B	7	1096	50	380	666	46
RGPD1	23	6692	16	1429	5247	35
PLGLB1	4	960	69	600	291	106
IGKV3OR2-268	2	350	0	0	350	301
PLGLB2	4	1173	67	815	291	106
KRCC1	4	1753	394	579	780	802
FABP1	4	555	99	72	384	51
THNSL2	9	2052	71	763	1218	141
FOXI3	2	2804	121	1420	1263	623
TEX37	4	795	142	110	543	423
IGKC	1	523	0	200	323	323
IGKJ5	1	38	0	0	38	38
IGKJ4	1	37	0	0	37	37
IGKJ3	1	38	0	0	38	38
IGKJ2	1	39	0	0	39	39
IGKJ1	1	38	0	0	38	38
IGKV4-1	2	538	175	0	363	314
IGKV5-2	2	408	63	0	345	296
IGKV1-5	2	532	181	0	351	296
IGKV1-6	2	380	29	0	351	296
IGKV3-7	2	445	97	0	348	299
IGKV1-8	2	398	53	0	345	296
IGKV1-9	2	409	58	0	351	296
IGKV3-11	2	392	47	0	345	296
IGKV1-12	2	398	47	0	351	296
